"X..Gene.Family"	"ARSH_W18_PN1A2_S29_L001_Abundance.RPKs"	"ARSH_W18_PN1V1_S30_L001_Abundance.RPKs"	"ARSH_W18_PN2A1_S31_L001_Abundance.RPKs"	"ARSH_W18_PN2V1_S32_L001_Abundance.RPKs"	"LVCH_W18_PN1A2_S13_L001_Abundance.RPKs"	"LVCH_W18_PN1V2_S14_L001_Abundance.RPKs"	"LVCH_W18_PN2A2_S15_L001_Abundance.RPKs"	"LVCH_W18_PN2V1_S16_L001_Abundance.RPKs"
"1"	"K00001: alcohol dehydrogenase [EC:1.1.1.1]"	0.000242437	0.000237741	0.000183038	0.000237177	0.00110801502713002	0.00108646450121887	0.00112792932894081	0.000687969587743282
"2"	"K00002: alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"	2.47489e-06	1.02829e-05	6.44417e-06	6.08761e-06	0.000866446305532008	0.000967316046124324	0.000611040873918682	0.00109640388260596
"3"	"K00003: homoserine dehydrogenase [EC:1.1.1.3]"	0.000499017	0.00051234	0.000444746	0.000495642	0.00126680363714695	0.0010192524404265	0.00122509662411176	0.0012352354764007
"4"	"K00004: (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"	6.05153e-05	6.86394e-05	5.61616e-05	6.08874e-05	0.00121843556500971	0.00146496040630154	0.000771875408478081	0.00139785579056479
"5"	"K00005: glycerol dehydrogenase [EC:1.1.1.6]"	1.04058e-05	4.40109e-06	3.58523e-06	6.32573e-06	0.000661440097959712	0.00126489353994839	0.00101985118258744	0.00112263325322419
"6"	"K00006: glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]"	1.04064e-06	5.147e-06	1.6383e-06	2.26216e-06	0.000933720796601847	0.000718889072071761	0.00062453226139769	0.000794398281024769
"7"	"K00007: D-arabinitol 4-dehydrogenase [EC:1.1.1.11]"	3.64733e-06	1.04268e-06	8.64091e-06	1.01793e-05	0.00106602765363641	0.000749771724455059	0.00143109528813511	0.00137757942080498
"8"	"K00008: L-iditol 2-dehydrogenase [EC:1.1.1.14]"	0.000441707	0.000398924	0.000250105	0.000330337	0.000641596045345068	0.000979218226857483	0.00136461292789318	0.00108119767368771
"9"	"K00009: mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]"	0	0	1.34937e-05	1.08622e-05	0.00082777351140976	0.000976356912404299	0.00118215390457772	0.0014941098424606
"10"	"K00010: myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"	0.000262058	0.00030516	0.000217526	0.00023305	0.000867831338196993	0.00145635577919893	0.00120781123940833	0.00125040888180956
"11"	"K00011: aldehyde reductase [EC:1.1.1.21]"	4.17335e-06	2.33049e-06	4.11393e-06	1.54192e-06	0.00142065745149739	0.000660679501714185	0.00123725671204738	0.000850161894690245
"12"	"K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]"	0.000663315	0.000684083	0.000597071	0.000612516	0.00111224613245577	0.000869995147455484	0.000966870466480032	0.00107408023625612
"13"	"K00013: histidinol dehydrogenase [EC:1.1.1.23]"	0.000433144	0.000449803	0.000448803	0.000459751	0.00142879842594266	0.000559044151566923	0.00136134785809554	0.000757001933408901
